Strawberry Type/Chemical Label (Each entry is the volatility of the sample in ng / gFW hr),75-85-4 ,616-25-1 ,1629-58-9 ,96-22-0 ,110-62-3 ,1534-08-3 ,105-37-3,109-60-4 ,623-42-7 ,591-78-6 ,108-10-1 ,1576-87-0 ,1576-86-9 ,623-43-8 ,71-41-0,1576-95-0 ,556-24-1 ,589-38-8 ,105-54-4 ,66-25-1 ,123-86-4 ,624-24-8 ,29674-47-3 ,96-04-8 ,638-11-9 ,116-53-0 ,7452-79-1 ,6728-26-3 ,928-95-0 ,111-27-3 ,123-92-2 ,624-41-9 ,110-43-0,2432-51-1 ,105-66-8 ,539-82-2 ,111-71-7 ,628-63-7 ,1191-16-8 ,106-70-7 ,55514-48-2 ,110-93-0 ,109-21-7 ,123-66-0 ,124-13-0 ,142-92-7 ,2497-18-9 ,60415-61-4,104-76-7 , 2311-46-8 ,109-19-3 ,2548-87-0 ,540-18-1 ,4077-47-8 ,20664-46-4,821-55-6 ,5989-33-3 ,78-70-6 ,124-19-6 ,103-09-3,140-11-4 ,2639-63-6 ,53398-83-7 ,106-32-1 ,112-14-1 ,564-94-3 ,3913-81-3 ,134-20-3 ,110-39-4 ,110-38-3 ,29811-50-5 ,7786-58-5 ,15111-96-3 ,706-14-9 ,10522-34-6 ,5881-17-4 ,128-37-0,40716-66-3 ,4887-30-3 ,5454-09-1 ,2305-05-7 
PROPRIETARY 3,2.89,19.12,152.65,37.17,0.99,0.47,3.73,1.66,1867.96,19.82,0.00,48.04,56.50,2.28,3.49,6.08,118.31,1.98,52.62,1535.05,14.32,4.49,3.28,1.45,25.61,0.00,43.21,9279.66,21.62,27.14,29.70,15.82,3.90,2.12,0.00,0.00,1.70,3.25,2.87,314.38,0.00,1.54,0.00,26.63,3.17,12.46,8.46,0.10,1.95,2.51,0.79,2.36,0.97,9.67,8.86,0.24,7.00,240.74,5.66,1.84,4.24,0.12,0.00,0.25,3.93,2.45,1.63,0.00,3.46,0.00,0.28,0.94,0.48,1.68,0.00,3.04,1.54,38.63,0.00,0.00,8.54
CHANDLER,0.00,0.00,72.32,55.09,0.00,0.00,13.19,2.45,1632.05,25.54,0.00,14.25,14.46,1.48,1.81,0.00,31.30,0.00,15.83,1147.02,86.61,3.85,4.31,57.10,16.80,0.00,18.62,3794.92,192.46,640.91,70.63,37.55,8.35,0.00,5.75,6.36,0.00,5.35,11.86,292.32,2.71,3.73,24.68,19.38,6.85,78.72,35.84,0.00,4.86,5.20,1.94,0.00,0.24,0.00,19.73,0.00,1.56,35.92,4.09,3.56,24.18,11.30,4.21,0.00,27.23,7.61,0.00,0.00,61.48,0.00,17.51,37.20,0.00,78.79,2.89,9.81,12.92,17.26,37.41,7.02,6.85
FESTIVAL,6.76,8.94,169.03,49.64,17.63,0.52,85.37,4.05,2345.75,4.16,8.28,34.40,38.15,0.78,0.24,3.81,6.84,1.11,30.83,2550.02,30.00,7.41,7.24,1.15,83.83,26.84,29.68,5682.02,68.17,31.73,18.12,13.62,15.73,20.02,8.67,20.14,4.82,4.61,1.78,180.57,0.60,5.05,45.17,137.24,4.08,21.52,4.00,1.26,7.46,7.27,1.56,2.64,3.81,14.54,29.45,0.00,1.72,56.24,6.46,2.51,4.69,9.36,5.43,0.00,4.85,6.77,2.35,0.00,31.08,7.18,1.72,2.75,1.44,2.62,2.22,8.36,9.62,141.27,11.47,1.50,9.55
FL 09-127,3.99,11.26,124.77,40.68,3.03,0.56,7.01,3.68,2258.78,11.27,8.69,22.75,24.14,2.37,0.00,5.34,23.09,0.92,25.16,1783.23,81.55,3.58,1.70,1.32,76.41,10.43,24.94,4505.45,141.04,94.68,28.80,19.00,40.87,1.18,9.99,15.20,3.48,4.31,6.10,374.19,0.58,2.65,149.77,208.16,4.76,113.53,12.46,1.13,11.33,11.65,3.48,2.20,6.39,11.81,40.36,53.62,1.37,67.05,5.48,2.78,9.04,30.03,5.84,8.93,33.80,17.13,1.84,0.00,94.26,3.87,3.33,30.92,0.97,147.96,2.35,7.21,9.66,159.47,36.55,8.65,4.99
TREASURE,4.75,17.36,169.34,60.87,0.76,0.46,6.29,7.97,2835.56,27.56,4.59,38.09,45.42,2.51,0.00,1.71,41.09,1.85,31.76,3463.96,99.09,2.18,4.99,5.05,148.23,27.36,42.91,8905.78,65.42,45.06,42.31,30.94,49.17,4.63,11.36,5.65,7.85,5.04,6.91,99.88,0.97,2.65,77.25,322.38,6.17,77.52,10.99,0.91,6.30,7.51,4.95,4.40,9.49,16.01,33.65,11.39,1.88,67.90,8.36,2.63,8.43,13.65,4.71,5.39,16.21,8.39,2.95,0.00,35.23,1.29,3.63,15.68,0.98,5.18,1.32,6.34,3.64,39.48,5.72,1.15,26.32
WINTER DAWN,4.88,13.48,123.57,35.94,7.94,0.30,9.99,5.08,3286.53,3.75,7.24,35.87,32.17,4.82,0.00,3.63,26.29,1.60,33.38,7116.18,29.42,9.09,10.55,0.60,82.02,51.73,29.56,7942.89,40.06,16.40,22.80,21.51,23.76,0.33,5.67,3.31,4.49,6.54,4.52,188.53,0.74,1.87,4.05,280.32,6.10,69.31,17.19,0.55,5.07,6.15,2.42,3.66,3.41,13.35,4.56,25.43,1.13,51.47,5.20,2.55,8.94,1.67,0.68,6.25,10.41,4.20,0.70,0.00,4.73,0.69,0.00,0.00,0.50,1.67,0.42,7.76,7.92,72.49,0.00,0.00,4.43
PROPRIETARY 5,1.73,23.17,73.39,45.18,1.33,0.63,8.31,5.44,1015.51,4.39,0.00,20.95,23.26,6.98,6.10,4.85,68.34,1.04,34.88,1072.17,6.53,2.05,2.45,0.58,1.59,2.51,30.68,6107.65,125.08,62.48,32.81,7.45,6.71,2.55,1.07,1.70,2.07,4.40,0.65,128.06,1.07,2.55,0.00,55.45,8.31,23.48,27.35,0.27,1.20,1.85,1.99,3.00,2.44,9.29,11.72,3.61,2.27,112.00,4.44,2.41,9.79,0.60,1.20,0.00,2.93,7.75,1.80,0.00,0.63,0.00,0.00,2.45,0.65,5.68,0.00,3.36,9.46,26.46,0.00,0.00,1.54
ALBION,2.42,17.20,165.96,56.03,1.09,0.39,12.04,12.25,4113.08,22.53,3.00,38.89,41.84,5.46,0.69,0.00,31.52,3.34,25.09,4951.49,363.88,3.62,12.46,1.30,131.19,9.34,32.39,7047.18,39.00,19.46,39.82,16.87,21.29,1.83,18.47,5.24,5.89,8.66,4.74,228.08,1.34,5.12,121.60,369.10,8.16,90.75,58.32,0.94,7.46,6.77,7.26,3.65,5.74,18.44,14.10,8.28,8.69,400.74,7.71,2.96,15.31,9.56,4.68,4.31,41.16,13.97,1.70,0.00,36.23,4.45,3.43,14.25,0.74,148.43,1.42,7.26,11.56,213.01,11.52,2.14,16.53
FESTIVAL,2.38,12.33,92.75,45.20,13.01,0.38,13.57,4.07,2934.78,3.68,2.31,33.58,32.70,1.33,0.31,7.32,8.55,2.52,36.49,1813.61,41.12,6.99,8.83,0.69,35.09,0.00,21.13,5568.16,54.29,44.71,14.72,12.89,7.41,7.73,8.18,3.35,3.17,4.87,1.42,230.09,0.50,2.99,17.64,68.25,4.41,22.63,13.67,0.16,2.79,3.16,1.23,2.97,3.08,8.71,4.75,1.81,3.28,83.51,4.40,1.71,3.92,5.40,4.30,0.00,2.70,3.00,1.78,0.00,6.15,0.97,0.88,0.98,0.69,1.24,0.67,3.89,8.09,86.59,2.24,0.79,5.33
RUBYGEM,2.18,9.69,88.93,32.68,6.87,0.36,5.00,9.65,1490.23,4.94,7.61,31.02,24.67,2.72,0.61,1.60,10.32,2.25,37.88,1787.67,51.62,4.24,1.26,1.01,28.61,15.82,34.85,6866.30,88.57,30.28,20.33,18.43,26.20,2.28,8.87,2.52,4.80,4.56,6.54,229.35,0.68,3.43,16.65,19.26,5.78,32.27,19.21,0.61,3.46,2.97,1.54,2.41,2.89,6.13,11.73,5.31,3.64,97.91,4.73,1.83,5.61,3.16,3.26,0.00,13.94,7.10,2.19,0.00,22.67,1.71,2.07,4.63,0.79,38.39,1.26,4.08,8.35,113.35,8.64,1.86,2.29
CAMINO REAL,4.37,21.96,124.47,74.08,1.28,0.33,6.12,3.84,3523.27,8.22,4.74,38.54,33.73,2.13,2.19,4.37,12.57,5.59,42.43,1745.53,249.11,4.03,9.53,2.27,90.14,5.21,29.27,8227.17,343.94,305.02,43.57,26.48,36.58,10.02,7.75,6.03,7.48,6.92,1.71,175.99,0.67,2.74,176.93,90.81,9.88,95.76,34.36,1.20,4.36,4.93,2.43,2.18,5.25,8.16,24.39,4.96,6.59,244.74,11.06,3.32,26.05,30.87,12.77,2.93,29.70,6.58,1.06,0.00,95.34,2.58,1.63,6.41,0.82,84.65,2.68,5.73,9.55,52.50,15.73,6.48,4.50
DARSELECT,3.52,13.89,95.15,61.92,10.81,0.35,15.98,7.32,2364.50,4.40,3.79,31.10,34.71,2.25,2.73,0.00,106.70,3.44,29.37,1709.95,94.53,7.74,2.20,3.33,53.48,2.40,21.39,5078.91,199.40,156.00,65.91,25.44,31.19,9.20,9.79,5.47,5.80,6.21,4.45,636.03,0.55,3.70,31.04,300.87,15.43,206.81,74.77,0.56,10.86,11.55,6.35,3.11,7.25,26.02,69.41,8.77,5.87,153.20,9.67,3.57,8.36,26.13,10.14,8.35,117.92,3.75,2.02,0.00,100.59,1.55,19.94,191.41,0.44,292.66,1.32,5.90,8.18,138.07,119.27,5.83,10.60
FESTIVAL,3.03,13.51,123.50,58.09,19.21,0.37,4.04,2.94,4106.50,5.37,3.28,41.77,40.98,0.97,2.40,1.71,15.45,2.68,38.93,2200.20,34.84,9.19,9.93,1.42,95.80,18.20,29.11,7786.50,80.28,24.65,10.18,20.16,13.58,24.21,7.96,5.89,5.28,5.45,3.02,348.91,0.44,3.85,80.27,103.95,7.18,36.66,42.17,1.06,8.61,9.71,2.80,3.82,5.11,13.06,23.72,4.68,4.89,90.93,9.72,3.18,4.63,12.22,22.46,4.80,11.58,6.02,2.93,0.00,23.30,5.14,0.89,2.03,0.87,1.81,1.57,6.35,9.80,116.93,6.07,1.64,8.30
SWEET ANNE,3.09,18.63,97.14,57.22,0.94,0.35,2.00,3.01,1057.63,17.98,0.00,26.02,34.44,0.65,2.90,1.49,20.57,3.31,35.49,1414.31,14.63,1.59,1.91,2.73,31.91,0.00,34.24,6743.07,202.27,103.18,31.91,21.50,12.75,3.51,2.77,2.91,4.03,3.15,1.53,174.94,0.46,4.08,6.84,74.49,11.22,45.04,108.16,0.31,4.08,4.90,2.50,3.14,4.05,7.61,21.36,1.81,7.21,482.77,14.43,2.78,6.13,2.39,3.86,4.12,7.78,4.40,1.28,0.00,8.95,4.14,0.65,4.57,0.57,49.75,0.48,5.31,8.71,144.53,3.85,0.00,4.81
BENICIA,4.92,18.17,126.58,48.57,2.43,0.49,7.05,7.95,846.65,27.36,0.00,31.46,38.14,1.16,3.66,3.53,37.61,2.67,33.13,2034.26,30.35,2.17,0.93,4.47,28.82,0.00,41.19,7511.25,90.63,49.89,50.04,17.87,8.60,1.77,4.03,3.16,2.06,1.80,4.66,67.54,0.29,2.93,8.67,88.83,8.24,39.25,71.59,0.23,2.15,3.34,2.55,4.36,4.48,15.11,8.58,5.87,3.65,330.32,6.09,2.99,32.97,2.82,2.86,4.39,8.61,12.14,1.26,0.00,5.09,0.84,0.00,5.29,0.74,39.34,0.00,4.40,6.02,82.87,1.30,0.00,1.37
FESTIVAL,1.65,16.80,137.48,45.84,15.87,0.45,14.91,1.97,5497.45,4.31,6.00,40.58,40.70,1.15,2.14,4.04,16.74,1.44,31.66,2488.31,28.35,19.44,16.18,1.53,110.91,34.49,28.58,7174.23,46.44,18.20,10.35,14.22,9.75,24.04,7.39,7.76,3.46,5.75,2.42,485.44,0.25,2.59,64.12,187.23,4.76,33.82,26.46,0.69,10.91,10.75,1.62,3.28,3.86,13.33,13.74,3.41,1.96,99.14,5.59,1.86,4.42,11.81,12.66,5.25,9.94,6.79,2.06,0.00,19.59,3.97,0.93,1.09,0.79,1.36,1.05,5.74,5.50,123.21,6.69,1.20,6.86
FL 06-38,2.34,8.49,99.57,41.34,5.86,0.50,36.13,4.49,3388.37,8.82,5.46,28.41,30.56,2.98,2.76,1.72,46.76,0.80,23.04,4253.17,74.97,8.20,3.98,1.49,95.51,19.15,32.62,5635.20,29.72,18.85,28.26,15.98,15.06,8.08,10.63,11.27,4.85,5.47,2.71,614.15,0.38,2.97,99.72,726.88,6.26,76.37,20.62,0.79,17.63,18.23,6.27,5.46,10.22,23.82,56.32,5.40,2.90,222.58,5.48,2.10,19.64,22.97,5.08,13.66,28.08,10.22,1.88,0.00,55.04,6.14,1.79,18.44,0.66,150.70,2.24,5.80,5.01,244.90,30.12,6.10,10.15
PORTOLA,2.97,12.93,84.00,46.70,0.92,0.39,2.45,2.09,906.65,4.63,0.00,24.38,27.04,3.48,2.96,2.21,26.48,2.25,37.86,1136.90,13.07,2.96,2.42,2.74,22.42,2.54,32.99,6446.74,70.78,33.47,16.91,16.44,6.16,2.07,1.49,1.10,2.92,1.99,8.54,117.55,0.33,1.46,0.80,60.21,3.44,15.41,18.08,0.10,9.68,1.97,1.76,3.50,2.04,9.49,1.89,0.08,2.27,27.05,3.52,2.17,1.79,1.18,0.85,6.16,8.62,2.74,1.20,0.00,4.51,0.24,2.12,2.10,0.41,1.42,0.00,3.90,1.86,8.16,1.79,0.00,0.97
VENTANA,2.34,14.90,86.79,42.35,6.89,0.30,3.16,3.25,1621.23,10.34,0.00,22.81,27.23,2.77,1.90,2.69,82.27,2.10,36.30,1465.00,8.78,2.84,2.52,4.00,20.85,7.94,43.56,7835.52,95.77,42.06,36.12,26.96,12.71,2.79,1.98,1.48,3.15,2.97,13.61,164.55,0.18,0.58,0.00,34.29,3.77,18.52,36.37,0.11,0.74,2.27,1.84,3.37,2.41,9.32,1.54,1.05,4.40,86.68,6.13,1.06,21.96,1.13,1.42,2.32,3.62,6.36,1.30,0.00,1.90,0.00,0.00,0.58,0.38,9.54,0.00,3.67,0.63,13.54,0.00,0.00,1.49
PROPRIETARY 6,2.43,18.24,107.74,36.96,0.73,0.34,16.80,6.10,4699.23,9.97,4.16,29.63,33.41,12.01,0.80,1.97,55.48,1.56,39.94,2016.30,22.01,7.95,17.24,1.47,61.53,5.60,38.31,7167.81,41.61,16.78,22.10,10.68,12.49,1.76,3.46,5.21,3.56,5.66,3.48,749.40,0.98,2.37,24.79,350.70,12.25,20.91,24.32,0.55,6.67,6.48,1.74,3.05,4.88,8.31,25.05,2.14,0.85,79.76,6.73,6.80,12.26,6.93,3.02,9.47,13.97,4.01,2.24,0.00,16.72,2.24,0.76,1.23,0.61,37.57,2.17,4.48,9.08,10.59,3.28,0.96,3.16
EVIE 2,2.86,13.59,32.40,26.15,2.97,0.30,6.92,8.10,1637.05,3.07,0.00,12.07,12.40,3.55,0.88,2.71,91.64,3.00,35.18,1542.68,62.24,2.92,1.83,0.60,13.66,0.55,29.31,6490.12,58.24,30.52,58.37,14.78,6.49,2.95,3.68,1.62,2.64,3.40,2.46,167.41,0.36,1.25,22.57,43.48,5.70,29.09,4.82,0.14,1.81,2.69,4.11,1.91,4.32,5.86,19.66,0.99,1.71,69.84,3.64,5.20,10.43,4.18,0.78,0.95,13.53,5.97,1.37,0.00,21.55,0.00,2.51,34.44,0.27,33.27,0.99,4.03,7.36,18.05,7.59,1.57,6.93
FESTIVAL,2.22,8.39,40.63,22.96,9.45,0.20,11.82,2.17,3000.85,2.87,4.13,15.38,14.13,1.21,0.21,2.96,21.41,1.64,21.54,1323.32,11.83,12.99,5.91,0.42,61.16,13.69,17.27,3810.95,24.98,9.77,8.38,9.84,2.06,9.80,5.19,2.93,1.05,4.97,1.18,235.34,0.00,1.87,19.02,52.54,1.61,8.42,3.22,0.38,4.34,3.88,0.25,1.65,1.26,3.28,6.69,0.00,0.94,24.57,1.34,2.31,1.29,3.00,2.26,0.82,1.75,2.29,0.72,0.00,6.94,2.48,1.11,0.88,1.07,0.81,0.72,3.48,2.63,42.61,2.80,1.03,3.20
GALLETA,2.27,15.38,96.12,32.99,0.79,0.35,1.96,2.25,3583.31,8.68,6.12,24.28,27.34,1.66,0.09,8.54,40.76,3.89,29.33,1767.37,59.57,2.80,2.80,0.93,61.72,18.29,40.42,7798.82,79.02,26.33,16.01,10.89,12.47,3.45,7.97,1.27,4.01,3.07,0.82,144.95,0.39,3.04,88.84,62.31,6.66,37.24,8.68,0.52,2.33,2.99,5.55,3.54,4.73,21.08,47.33,1.96,2.47,218.27,6.18,4.11,2.97,11.96,4.40,1.79,6.70,13.64,0.68,0.00,37.60,0.00,2.73,14.06,0.79,25.34,1.06,5.49,6.97,46.93,3.75,2.09,2.01
SWEET ANNE,1.18,7.39,35.24,17.43,0.42,0.00,0.35,1.15,1509.83,7.67,0.00,10.30,12.47,1.42,0.16,1.20,29.53,1.94,25.54,1153.26,12.57,1.75,0.94,1.74,40.88,0.00,22.51,4795.75,30.21,15.95,23.61,15.38,4.26,1.63,1.35,0.31,1.96,1.47,2.32,101.93,0.00,2.02,7.92,17.87,2.14,5.68,3.47,0.10,1.98,2.62,1.16,1.77,2.26,7.41,21.61,0.00,7.17,295.85,4.04,3.42,4.24,2.02,0.61,1.70,3.25,2.76,0.45,0.00,4.33,8.38,0.73,1.41,0.90,32.10,0.65,5.66,3.19,89.97,2.20,0.42,3.75
