Strawberry Type/Chemical Label (Each entry is the volatility of the sample in ng / gFW hr),75-85-4 ,616-25-1 ,1629-58-9 ,96-22-0 ,110-62-3 ,1534-08-3 ,105-37-3,109-60-4 ,623-42-7 ,591-78-6 ,108-10-1 ,1576-87-0 ,1576-86-9 ,623-43-8 ,71-41-0,1576-95-0 ,556-24-1 ,589-38-8 ,105-54-4 ,66-25-1 ,123-86-4 ,624-24-8 ,29674-47-3 ,96-04-8 ,638-11-9 ,116-53-0 ,7452-79-1 ,6728-26-3 ,928-95-0 ,111-27-3 ,123-92-2 ,624-41-9 ,110-43-0,2432-51-1 ,105-66-8 ,539-82-2 ,111-71-7 ,628-63-7 ,1191-16-8 ,106-70-7 ,55514-48-2 ,110-93-0 ,109-21-7 ,123-66-0 ,124-13-0 ,142-92-7 ,2497-18-9 ,60415-61-4,104-76-7 , 2311-46-8 ,109-19-3 ,2548-87-0 ,540-18-1 ,4077-47-8 ,20664-46-4,821-55-6 ,5989-33-3 ,78-70-6 ,124-19-6 ,103-09-3,140-11-4 ,2639-63-6 ,53398-83-7 ,106-32-1 ,112-14-1 ,564-94-3 ,3913-81-3 ,134-20-3 ,110-39-4 ,110-38-3 ,29811-50-5 ,7786-58-5 ,15111-96-3 ,706-14-9 ,10522-34-6 ,5881-17-4 ,128-37-0,40716-66-3 ,4887-30-3 ,5454-09-1 ,2305-05-7 
PROPRIETARY 3,8.71,22.22,150.99,115.86,8.56,0.55,15.53,10.02,3205.64,12.35,0.00,52.73,78.50,3.75,1.96,1.05,227.94,1.64,58.66,3252.41,45.78,4.12,4.17,3.95,42.51,53.35,88.85,13505.17,120.68,34.87,119.22,81.96,7.59,4.26,2.63,9.21,2.97,9.74,29.55,506.71,0.64,6.06,3.57,148.57,5.69,39.10,24.51,0.35,2.00,5.06,0.50,2.67,0.83,10.54,107.78,0.00,2.48,322.88,13.77,6.06,25.91,1.01,0.62,4.63,20.99,0.78,3.53,0.00,4.28,0.00,1.74,8.02,1.01,3.11,0.38,9.60,0.98,74.18,4.33,0.00,16.59
CAMINO REAL,6.04,25.66,95.42,53.72,0.57,0.66,3.43,1.91,2360.98,3.78,0.00,36.84,34.19,5.73,0.48,0.98,13.51,2.98,67.98,1990.17,62.46,1.83,3.05,0.72,24.16,16.39,32.07,10723.21,81.37,30.08,6.75,9.21,1.98,0.00,0.53,0.00,0.77,4.23,3.50,150.10,0.49,0.86,23.70,48.17,4.60,32.03,9.52,0.00,0.00,7.27,0.00,0.91,0.19,3.31,10.08,0.00,1.73,286.33,10.30,4.26,36.07,3.94,1.06,0.82,20.04,0.84,1.31,0.00,24.94,0.00,2.53,1.80,1.00,21.12,0.61,9.23,1.22,36.38,8.96,1.89,1.31
FESTIVAL,8.22,12.68,89.56,67.11,24.28,0.32,51.55,3.51,4615.03,4.70,0.00,50.18,28.94,1.24,0.53,2.60,36.82,3.50,58.22,11063.45,48.47,15.63,3.18,1.44,68.20,18.34,101.79,9615.52,7.37,7.79,2.77,8.83,6.26,12.01,7.61,2.71,1.20,6.64,0.94,601.98,0.16,3.57,61.45,162.29,3.00,35.01,3.98,0.00,7.53,2.32,0.00,0.89,0.69,7.91,23.99,0.00,1.68,71.60,7.05,3.84,6.47,11.68,5.12,2.07,17.37,4.07,2.24,0.00,41.00,3.63,3.15,1.61,6.17,0.40,1.78,10.03,3.01,96.42,20.83,3.04,9.09
WINTERSTAR,3.32,9.68,48.13,30.02,3.95,0.00,9.23,4.45,1530.58,6.86,0.00,23.16,12.17,1.27,0.00,0.60,37.20,1.93,36.76,1357.23,32.35,4.93,1.84,2.63,41.69,21.80,46.72,5950.65,38.79,23.12,10.35,18.40,4.04,0.00,7.34,0.36,0.00,4.07,11.72,319.32,0.38,0.97,22.95,133.45,3.37,33.59,25.97,0.00,8.88,0.00,0.00,0.42,1.89,1.26,2.50,0.00,0.78,32.98,2.12,2.94,10.12,7.39,3.65,1.29,10.17,4.94,0.47,0.00,11.29,0.64,0.66,0.64,1.64,20.02,0.57,5.25,1.03,30.80,5.61,0.85,1.60
FESTIVAL,2.13,15.59,59.40,42.88,13.92,0.00,4.15,2.08,2272.42,6.17,0.00,24.28,18.28,1.01,0.00,1.55,9.70,2.03,52.35,1177.82,12.03,5.84,4.84,1.03,24.69,15.50,31.94,7458.72,62.14,20.92,4.61,10.92,3.92,2.10,3.28,0.14,0.63,3.43,1.48,247.67,0.19,1.53,10.87,37.28,2.55,14.04,9.23,0.00,3.41,0.00,0.00,0.41,1.03,2.03,2.17,0.00,2.40,59.36,2.10,2.28,4.03,3.72,2.90,0.41,2.89,0.17,0.65,0.00,4.84,0.40,0.74,0.00,1.73,5.78,0.32,5.90,1.41,51.21,3.16,0.81,2.78
RADIANCE,2.12,6.33,54.62,28.61,15.06,0.00,6.76,5.50,1341.81,4.94,0.00,31.53,14.50,7.43,0.10,0.69,10.57,1.65,36.20,1355.03,11.65,5.14,1.64,0.45,32.38,25.94,196.93,7258.31,29.59,26.48,7.32,13.58,5.60,1.68,4.48,0.00,0.33,4.42,11.16,184.38,0.27,2.86,4.59,31.31,2.41,23.01,24.78,0.00,4.20,0.00,0.00,0.40,0.15,3.05,2.13,0.00,0.23,150.10,4.63,2.41,8.77,2.56,3.60,0.28,1.24,5.12,0.78,0.00,1.17,0.37,0.80,0.00,1.42,33.22,0.57,6.43,3.08,198.38,0.00,0.00,3.55
PROPRIETARY 4,0.48,22.43,249.57,67.72,1.33,0.27,7.22,2.15,6785.81,57.94,0.00,53.67,67.09,5.23,0.55,0.78,93.07,3.78,51.65,2460.07,100.84,7.78,23.52,3.69,122.82,34.18,70.83,10623.73,62.34,37.24,18.30,11.52,6.00,0.00,2.12,0.69,2.88,5.72,3.34,378.92,0.27,3.11,222.92,164.62,8.87,46.56,23.62,1.34,5.41,5.28,2.09,1.75,13.43,13.58,31.50,0.00,3.71,84.37,8.34,3.26,24.68,28.61,11.18,1.69,8.78,9.67,3.96,0.00,48.33,1.60,0.65,1.56,0.79,0.73,2.11,5.36,0.57,27.41,2.62,1.27,6.68
FL 05-85,2.99,16.19,49.51,38.20,16.84,0.29,0.92,1.35,2200.23,0.77,0.00,18.63,19.59,0.80,0.00,0.00,7.83,0.77,38.42,1335.24,16.88,3.60,1.89,1.55,44.35,29.89,48.80,6670.12,62.99,16.56,5.82,0.00,3.66,1.92,1.18,0.00,0.00,2.22,1.24,177.86,0.04,0.77,5.05,12.41,3.57,16.86,19.32,0.26,3.35,0.46,0.00,0.50,0.43,2.92,8.75,0.00,0.76,52.49,2.43,2.58,3.56,0.95,1.61,0.07,3.02,0.64,0.79,0.00,3.64,2.38,1.17,0.00,2.79,0.45,0.59,2.93,0.63,7.63,1.34,0.25,3.00
ELYANA,4.50,4.93,78.80,37.39,13.28,0.45,1.30,0.51,1421.77,9.32,0.00,28.59,22.24,0.81,0.00,0.58,28.04,0.71,27.79,1697.01,125.28,8.61,0.46,1.23,67.71,16.46,61.71,6379.28,0.00,5.18,19.43,5.21,19.90,2.68,2.40,0.89,0.95,6.03,2.47,352.17,0.22,1.33,132.18,75.36,2.66,109.46,5.94,0.27,22.42,2.51,11.87,0.35,5.80,5.86,12.72,0.28,0.28,62.28,4.67,2.50,19.10,0.00,1.00,1.21,103.40,1.52,1.15,0.00,397.54,2.93,5.24,60.26,2.25,46.44,5.57,4.56,0.70,30.63,185.71,29.36,1.93
FESTIVAL,5.44,8.33,73.41,44.96,36.26,0.31,12.14,1.54,3299.73,1.34,0.00,26.05,22.17,0.82,0.00,0.62,16.59,0.77,27.39,2417.33,15.42,10.18,2.67,0.79,78.32,17.34,39.96,7562.82,9.99,3.15,6.91,0.00,19.22,0.00,4.07,1.85,0.15,3.86,0.00,287.17,0.11,1.68,38.21,96.71,4.64,25.58,16.58,0.24,8.24,1.30,0.00,0.49,1.07,4.32,11.44,0.00,0.46,43.26,2.62,3.28,4.86,10.50,10.41,0.63,5.39,1.47,1.02,0.00,21.95,5.77,1.35,0.90,3.21,0.84,1.53,5.00,1.63,43.41,33.67,1.47,3.11
