1.05,7.2,3.79,4.79,0,0.11,0.33,4.46,0.94,1.92,0.03,0.09,1196.56,4345.51,355.57,190.77,0,0.72,0.9,0,0.08,0,0.32,0.42,2.42,0.01,1.54,0,4.27,0,0,0.79,1.87,0.13,0.5,36.42,0.74,0.21,0.71,0.42,1.42,0.7,1.63,0.38,0.11,0,2.32,1.78,0.14,1.27,0,0
1.4,8.31,3.56,4.32,0,0.43,0.55,3.73,0.7,2.32,0.08,8.7,907.13,5165.84,401.18,254.44,0,1.35,0.53,0.22,0.26,0.05,0.43,0.33,2.54,0.16,1.42,0,10.75,20.05,0,4.94,10.63,0.42,4.79,16.18,0.69,0.18,3.38,0.05,0.38,0.61,1.94,1.39,0.11,0.14,3.3,5.46,1.65,0.66,0,0.31
0.82,5.27,21.69,4.53,0,0.13,0.59,3.05,0.87,1.21,0,7.65,1058.29,3146.05,358.01,166.66,0,1.61,0.35,0.28,0.05,0,0.07,0.37,1.53,0,0.04,0,1.92,5.78,0,0.43,3.29,0.07,0.32,10.86,0.26,0.29,1.41,0.01,0.11,0.39,0.52,0.11,0.05,0,0.66,2.08,0.15,0.2,0,0.22
0.85,5.25,5.87,4.2,0,0.2,0.24,2.12,1.23,1.52,0.02,43.87,1380.1,4123.45,390.25,245.92,0,2.62,0.49,0,0.09,0,0.46,0.33,12.18,0.15,3,0,6.63,0,0,4.22,1.26,0.2,1.62,21.46,0.25,0.18,0.46,0.25,0,0.18,0.03,0.85,0.09,0.42,14.76,4.74,0.81,1.5,0,0.12
1.82,7.33,6.88,7.47,0,0.36,0.5,4.93,1.53,1.67,0.16,216.42,1766.28,4999.2,290.46,226.99,0,0.78,1.02,0,0.25,0,0.31,0.65,5.21,0.12,1.96,0,7.46,0,0,2.51,1.92,0.07,0.34,10.41,0.89,0.2,0.69,0.17,0,0.55,1.67,0.05,0.06,0,1.52,1.65,0.83,0.41,0,0.17
1.76,5.28,0.77,4.83,0,0.04,0.99,2.3,0.81,1.36,0.03,6.67,1379.83,3488.36,272.86,165.15,0,1.69,0.78,0.21,0.21,0,0.1,0.5,1.31,0,0,0,2.1,5.75,0,0,0.21,0,2.25,2.9,0.72,0,0.15,0,0.21,0.26,0.87,1.67,0.06,0.07,2.14,4.64,0,0,0,0
0.77,5.06,3.69,5.95,0,0.08,0.2,3.54,2.39,1.27,0.01,0.15,1166,3426.35,172.85,121.11,0,1.51,0.75,0,0.05,0,0.36,0.23,1.76,0,0.64,0,0,1.55,0,0.37,0.72,0.05,0.24,18.33,0.03,0.04,0.18,0.31,0.29,0.4,0.72,0.27,0.05,0.08,1.77,1.17,0.07,0.37,0,0.03
1.14,7.93,2.58,6.5,0.24,0.55,0.53,3.68,2.69,2.14,0.09,5.69,1014.14,4856.85,360.71,228.86,0,2.33,0.53,0.22,0.24,0.02,1.05,0.53,2.22,0.04,1.07,0,8.78,15.84,0,5.19,8.72,0.17,4.13,15.27,0.44,0.62,2.45,0.4,0.25,0.75,1.54,1.19,0.05,0.21,3.99,4.98,1.65,0.59,0,0.35
0.83,5.86,6.08,7.55,0.01,0.13,0.47,3.95,1.93,1.36,0.16,7.13,1475.54,4031.57,273.87,143.28,0,3.02,0.79,0.35,0.07,0,0.65,0.5,1.76,0.47,0.43,0,2.48,6.55,0.01,0.48,4.14,0.07,0.57,8.87,0.61,0.13,1.09,0.62,0.36,0.64,0.91,0.1,0.11,0.03,0.33,1.85,0.19,0.18,0,0.15
0.94,5.62,3.7,6.55,0,0.21,0.12,2.38,2.41,1.29,0.14,29.02,1680.9,4345.35,332.59,223.61,0,5.03,0.77,0,0.27,0.02,1.76,0.59,9.84,0.14,4.24,0,0,6.98,0.06,4.45,1.05,0.21,1.66,17.97,0.51,0.18,0.93,0.62,0.1,0.18,0.08,0.53,0.1,0.4,12.49,5.43,0.73,2.26,0,0.36
